data_id,data_name,allocation_method,routing_heuristic,merge_strategy,allocation_time,allocation_bytes,route_time,route_bytes,merge_time,merge_bytes,distance,sum_pickers
5,SLAPRP_Guo_small_O100_alpha0.2_v4.txt,MESSAGE_PASSING,GREEDY,CLARKE_WRIGHT_HEURISTIC,9.3145516,159529428,0.0042452,678462,0.0018009,1565934,1252.0,7
5,SLAPRP_Guo_small_O100_alpha0.2_v4.txt,MESSAGE_PASSING,GREEDY,NO_HEURISTIC,9.3145516,159529428,0.0041551,678270,0.0,0,3694.0,104
6,SLAPRP_Guo_small_O100_alpha0.2_v5.txt,ALS,ASTAR_HEURISTIC,CLARKE_WRIGHT,7.5921946,138301500,0.0056136,1961214,2.5204673,4489375717,1020.0,7
6,SLAPRP_Guo_small_O100_alpha0.2_v5.txt,ALS,ASTAR_HEURISTIC,CLARKE_WRIGHT_HEURISTIC,7.5921946,138301500,0.0041282,1961342,0.0015019,1590974,1572.0,8
6,SLAPRP_Guo_small_O100_alpha0.2_v5.txt,ALS,ASTAR_HEURISTIC,NO_HEURISTIC,7.5921946,138301500,0.0052522,1961230,0.0,0,4884.0,100
6,SLAPRP_Guo_small_O100_alpha0.2_v5.txt,ALS,GREEDY,CLARKE_WRIGHT,7.5921946,138301500,0.0034733,717054,2.6329557,4377012021,962.0,7
6,SLAPRP_Guo_small_O100_alpha0.2_v5.txt,ALS,GREEDY,CLARKE_WRIGHT_HEURISTIC,7.5921946,138301500,0.0055265,717438,0.0018507,1561470,1356.0,7
6,SLAPRP_Guo_small_O100_alpha0.2_v5.txt,ALS,GREEDY,NO_HEURISTIC,7.5921946,138301500,0.0037932,717006,0.0,0,4586.0,100
6,SLAPRP_Guo_small_O100_alpha0.2_v5.txt,ABC,ASTAR_HEURISTIC,CLARKE_WRIGHT,0.402942,56173303,0.0070227,1889870,2.3083481,3890965077,776.0,7
6,SLAPRP_Guo_small_O100_alpha0.2_v5.txt,ABC,ASTAR_HEURISTIC,CLARKE_WRIGHT_HEURISTIC,0.402942,56173303,0.0049834,1890046,0.0019823,1553934,1104.0,7
6,SLAPRP_Guo_small_O100_alpha0.2_v5.txt,ABC,ASTAR_HEURISTIC,NO_HEURISTIC,0.402942,56173303,0.0059739,1889870,0.0,0,2720.0,100
6,SLAPRP_Guo_small_O100_alpha0.2_v5.txt,ABC,GREEDY,CLARKE_WRIGHT,0.402942,56173303,0.0033648,696206,2.1611301,3613182119,542.0,7
6,SLAPRP_Guo_small_O100_alpha0.2_v5.txt,ABC,GREEDY,CLARKE_WRIGHT_HEURISTIC,0.402942,56173303,0.0042644,696606,0.0015492,1478558,844.0,7
6,SLAPRP_Guo_small_O100_alpha0.2_v5.txt,ABC,GREEDY,NO_HEURISTIC,0.402942,56173303,0.0035825,696158,0.0,0,2604.0,100
6,SLAPRP_Guo_small_O100_alpha0.2_v5.txt,ABC_HEURISTIC,ASTAR_HEURISTIC,CLARKE_WRIGHT,0.3955008,56887840,0.0090441,1960878,3.3734379,4080708327,904.0,8
6,SLAPRP_Guo_small_O100_alpha0.2_v5.txt,ABC_HEURISTIC,ASTAR_HEURISTIC,CLARKE_WRIGHT_HEURISTIC,0.3955008,56887840,0.0058158,1961022,0.0033506,1591598,1380.0,8
6,SLAPRP_Guo_small_O100_alpha0.2_v5.txt,ABC_HEURISTIC,ASTAR_HEURISTIC,NO_HEURISTIC,0.3955008,56887840,0.0073458,1960830,0.0,0,2934.0,100
6,SLAPRP_Guo_small_O100_alpha0.2_v5.txt,ABC_HEURISTIC,GREEDY,CLARKE_WRIGHT,0.3955008,56887840,0.0059925,724638,2.6757507,3637607255,758.0,7
6,SLAPRP_Guo_small_O100_alpha0.2_v5.txt,ABC_HEURISTIC,GREEDY,CLARKE_WRIGHT_HEURISTIC,0.3955008,56887840,0.0050187,724734,0.0014533,1534926,1140.0,7
6,SLAPRP_Guo_small_O100_alpha0.2_v5.txt,ABC_HEURISTIC,GREEDY,NO_HEURISTIC,0.3955008,56887840,0.0053804,724574,0.0,0,3022.0,100
