data_id,data_name,do_abc,do_allocation,do_message_passing,do_cw,allocation_time,allocation_bytes,route_time,route_bytes,cw_time,cw_bytes,distance,sum_pickers
28,SLAPRP_Guo_small_O100_alpha0.4_v7.txt,false,true,true,false,11.0411497,82443821,0.0014949,736503,0,0,1924.0,100
28,SLAPRP_Guo_small_O100_alpha0.4_v7.txt,false,true,true,true,11.0411497,82443821,0.0014949,736503,1.2247655,3044700311,284.0,6
28,SLAPRP_Guo_small_O100_alpha0.4_v7.txt,false,true,false,false,4.3396576,75568219,0.0014693,696823,0,0,2678.0,100
28,SLAPRP_Guo_small_O100_alpha0.4_v7.txt,false,true,false,true,4.3396576,75568219,0.0014693,696823,1.3420512,3155102213,396.0,6
29,SLAPRP_Guo_small_O100_alpha0.4_v8.txt,true,true,false,false,0.222857,24344872,0.0012727,698647,0,0,1472.0,101
29,SLAPRP_Guo_small_O100_alpha0.4_v8.txt,true,true,false,true,0.222857,24344872,0.0012727,698647,1.2385889,3011766677,218.0,7
29,SLAPRP_Guo_small_O100_alpha0.4_v8.txt,false,true,true,false,78.053645,96445003,0.0019327,671415,0,0,1638.0,101
29,SLAPRP_Guo_small_O100_alpha0.4_v8.txt,false,true,true,true,78.053645,96445003,0.0019327,671415,1.2328065,3023168837,214.0,6
29,SLAPRP_Guo_small_O100_alpha0.4_v8.txt,false,true,false,false,8.6830899,87552089,0.0013113,655127,0,0,2410.0,101
29,SLAPRP_Guo_small_O100_alpha0.4_v8.txt,false,true,false,true,8.6830899,87552089,0.0013113,655127,1.2642539,3096108631,356.0,6
30,SLAPRP_Guo_small_O100_alpha0.4_v9.txt,true,true,false,false,0.2011022,24608968,0.0020564,698007,0,0,1652.0,100
30,SLAPRP_Guo_small_O100_alpha0.4_v9.txt,true,true,false,true,0.2011022,24608968,0.0020564,698007,1.1718642,2906686631,244.0,12
30,SLAPRP_Guo_small_O100_alpha0.4_v9.txt,false,true,true,false,40.8919209,95460891,0.0011967,655719,0,0,1598.0,100
30,SLAPRP_Guo_small_O100_alpha0.4_v9.txt,false,true,true,true,40.8919209,95460891,0.0011967,655719,1.1415301,2789318103,250.0,10
30,SLAPRP_Guo_small_O100_alpha0.4_v9.txt,false,true,false,false,4.306255,88121977,0.0012052,628055,0,0,2294.0,100
30,SLAPRP_Guo_small_O100_alpha0.4_v9.txt,false,true,false,true,4.306255,88121977,0.0012052,628055,1.323616,3022425045,366.0,6
